,Time_24h,Hour,Minute,Date,Day of the week,CarCount,BikeCount,BusCount,Traffic Situation,Minute_sin,Minute_cos,Hour_sin,Hour_cos,IsDay,Day of the week_cos,Day of the week_sin
0,00:00,0,0,10,1,13,2,2,1,0.0,1.0,0.0,1.0,0,0.6234898018587336,0.7818314824680298
1,00:15,0,15,10,1,14,1,1,1,1.0,2.83276944882399e-16,0.0,1.0,0,0.6234898018587336,0.7818314824680298
2,00:30,0,30,10,1,10,2,2,1,5.66553889764798e-16,-1.0,0.0,1.0,0,0.6234898018587336,0.7818314824680298
3,00:45,0,45,10,1,10,2,2,1,-1.0,-1.8369701987210297e-16,0.0,1.0,0,0.6234898018587336,0.7818314824680298
4,01:00,1,0,10,1,11,2,1,1,0.0,1.0,0.25881904510252074,0.9659258262890683,0,0.6234898018587336,0.7818314824680298
5,01:15,1,15,10,1,15,1,1,1,1.0,2.83276944882399e-16,0.25881904510252074,0.9659258262890683,0,0.6234898018587336,0.7818314824680298
6,01:30,1,30,10,1,14,2,2,1,5.66553889764798e-16,-1.0,0.25881904510252074,0.9659258262890683,0,0.6234898018587336,0.7818314824680298
7,01:45,1,45,10,1,13,2,1,1,-1.0,-1.8369701987210297e-16,0.25881904510252074,0.9659258262890683,0,0.6234898018587336,0.7818314824680298
8,02:00,2,0,10,1,7,0,0,1,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0.6234898018587336,0.7818314824680298
9,02:15,2,15,10,1,13,0,0,1,1.0,2.83276944882399e-16,0.49999999999999994,0.8660254037844387,0,0.6234898018587336,0.7818314824680298
10,02:30,2,30,10,1,15,2,0,1,5.66553889764798e-16,-1.0,0.49999999999999994,0.8660254037844387,0,0.6234898018587336,0.7818314824680298
11,02:45,2,45,10,1,5,2,0,1,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,0,0.6234898018587336,0.7818314824680298
12,03:00,3,0,10,1,9,1,0,1,0.0,1.0,0.7071067811865475,0.7071067811865476,0,0.6234898018587336,0.7818314824680298
13,03:15,3,15,10,1,8,0,2,1,1.0,2.83276944882399e-16,0.7071067811865475,0.7071067811865476,0,0.6234898018587336,0.7818314824680298
14,03:30,3,30,10,1,7,0,0,1,5.66553889764798e-16,-1.0,0.7071067811865475,0.7071067811865476,0,0.6234898018587336,0.7818314824680298
15,03:45,3,45,10,1,10,1,2,1,-1.0,-1.8369701987210297e-16,0.7071067811865475,0.7071067811865476,0,0.6234898018587336,0.7818314824680298
16,04:00,4,0,10,1,82,7,3,0,0.0,1.0,0.8660254037844386,0.5000000000000001,0,0.6234898018587336,0.7818314824680298
17,04:15,4,15,10,1,71,3,0,1,1.0,2.83276944882399e-16,0.8660254037844386,0.5000000000000001,0,0.6234898018587336,0.7818314824680298
18,04:30,4,30,10,1,89,10,2,0,5.66553889764798e-16,-1.0,0.8660254037844386,0.5000000000000001,0,0.6234898018587336,0.7818314824680298
19,04:45,4,45,10,1,77,3,0,0,-1.0,-1.8369701987210297e-16,0.8660254037844386,0.5000000000000001,0,0.6234898018587336,0.7818314824680298
20,05:00,5,0,10,1,90,2,0,1,0.0,1.0,0.9659258262890683,0.25881904510252074,1,0.6234898018587336,0.7818314824680298
21,05:15,5,15,10,1,84,1,7,1,1.0,2.83276944882399e-16,0.9659258262890683,0.25881904510252074,1,0.6234898018587336,0.7818314824680298
22,05:30,5,30,10,1,88,8,6,1,5.66553889764798e-16,-1.0,0.9659258262890683,0.25881904510252074,1,0.6234898018587336,0.7818314824680298
23,05:45,5,45,10,1,97,27,15,1,-1.0,-1.8369701987210297e-16,0.9659258262890683,0.25881904510252074,1,0.6234898018587336,0.7818314824680298
24,06:00,6,0,10,1,107,10,24,1,0.0,1.0,1.0,6.123233995736766e-17,1,0.6234898018587336,0.7818314824680298
25,06:15,6,15,10,1,82,26,11,1,1.0,2.83276944882399e-16,1.0,6.123233995736766e-17,1,0.6234898018587336,0.7818314824680298
26,06:30,6,30,10,1,93,16,24,1,5.66553889764798e-16,-1.0,1.0,6.123233995736766e-17,1,0.6234898018587336,0.7818314824680298
27,06:45,6,45,10,1,128,18,14,1,-1.0,-1.8369701987210297e-16,1.0,6.123233995736766e-17,1,0.6234898018587336,0.7818314824680298
28,07:00,7,0,10,1,110,19,12,1,0.0,1.0,0.9659258262890683,-0.25881904510252063,1,0.6234898018587336,0.7818314824680298
29,07:15,7,15,10,1,122,13,10,1,1.0,2.83276944882399e-16,0.9659258262890683,-0.25881904510252063,1,0.6234898018587336,0.7818314824680298
30,07:30,7,30,10,1,92,14,16,1,5.66553889764798e-16,-1.0,0.9659258262890683,-0.25881904510252063,1,0.6234898018587336,0.7818314824680298
31,07:45,7,45,10,1,143,30,17,3,-1.0,-1.8369701987210297e-16,0.9659258262890683,-0.25881904510252063,1,0.6234898018587336,0.7818314824680298
32,08:00,8,0,10,1,134,18,21,3,0.0,1.0,0.8660254037844387,-0.4999999999999998,1,0.6234898018587336,0.7818314824680298
33,08:15,8,15,10,1,134,30,15,3,1.0,2.83276944882399e-16,0.8660254037844387,-0.4999999999999998,1,0.6234898018587336,0.7818314824680298
34,08:30,8,30,10,1,119,13,14,1,5.66553889764798e-16,-1.0,0.8660254037844387,-0.4999999999999998,1,0.6234898018587336,0.7818314824680298
35,08:45,8,45,10,1,139,12,22,3,-1.0,-1.8369701987210297e-16,0.8660254037844387,-0.4999999999999998,1,0.6234898018587336,0.7818314824680298
36,09:00,9,0,10,1,73,9,14,1,0.0,1.0,0.7071067811865476,-0.7071067811865475,1,0.6234898018587336,0.7818314824680298
37,09:15,9,15,10,1,33,12,9,0,1.0,2.83276944882399e-16,0.7071067811865476,-0.7071067811865475,1,0.6234898018587336,0.7818314824680298
38,09:30,9,30,10,1,69,9,26,2,5.66553889764798e-16,-1.0,0.7071067811865476,-0.7071067811865475,1,0.6234898018587336,0.7818314824680298
39,09:45,9,45,10,1,69,12,10,0,-1.0,-1.8369701987210297e-16,0.7071067811865476,-0.7071067811865475,1,0.6234898018587336,0.7818314824680298
40,10:00,10,0,10,1,55,11,9,0,0.0,1.0,0.49999999999999994,-0.8660254037844387,1,0.6234898018587336,0.7818314824680298
41,10:15,10,15,10,1,32,7,27,1,1.0,2.83276944882399e-16,0.49999999999999994,-0.8660254037844387,1,0.6234898018587336,0.7818314824680298
42,10:30,10,30,10,1,53,13,7,0,5.66553889764798e-16,-1.0,0.49999999999999994,-0.8660254037844387,1,0.6234898018587336,0.7818314824680298
43,10:45,10,45,10,1,34,10,9,1,-1.0,-1.8369701987210297e-16,0.49999999999999994,-0.8660254037844387,1,0.6234898018587336,0.7818314824680298
44,11:00,11,0,10,1,32,10,10,1,0.0,1.0,0.258819045102521,-0.9659258262890682,1,0.6234898018587336,0.7818314824680298
45,11:15,11,15,10,1,47,10,5,1,1.0,2.83276944882399e-16,0.258819045102521,-0.9659258262890682,1,0.6234898018587336,0.7818314824680298
46,11:30,11,30,10,1,28,0,5,1,5.66553889764798e-16,-1.0,0.258819045102521,-0.9659258262890682,1,0.6234898018587336,0.7818314824680298
47,11:45,11,45,10,1,35,7,13,1,-1.0,-1.8369701987210297e-16,0.258819045102521,-0.9659258262890682,1,0.6234898018587336,0.7818314824680298
48,12:00,12,0,10,1,38,10,8,1,0.0,1.0,1.2246467991473532e-16,-1.0,1,0.6234898018587336,0.7818314824680298
49,12:15,12,15,10,1,32,3,12,1,1.0,2.83276944882399e-16,1.2246467991473532e-16,-1.0,1,0.6234898018587336,0.7818314824680298
50,12:30,12,30,10,1,54,5,12,1,5.66553889764798e-16,-1.0,1.2246467991473532e-16,-1.0,1,0.6234898018587336,0.7818314824680298
51,12:45,12,45,10,1,52,2,12,1,-1.0,-1.8369701987210297e-16,1.2246467991473532e-16,-1.0,1,0.6234898018587336,0.7818314824680298
52,13:00,13,0,10,1,68,19,18,1,0.0,1.0,-0.2588190451025208,-0.9659258262890683,1,0.6234898018587336,0.7818314824680298
53,13:15,13,15,10,1,73,15,3,0,1.0,2.83276944882399e-16,-0.2588190451025208,-0.9659258262890683,1,0.6234898018587336,0.7818314824680298
54,13:30,13,30,10,1,21,18,18,1,5.66553889764798e-16,-1.0,-0.2588190451025208,-0.9659258262890683,1,0.6234898018587336,0.7818314824680298
55,13:45,13,45,10,1,63,11,16,1,-1.0,-1.8369701987210297e-16,-0.2588190451025208,-0.9659258262890683,1,0.6234898018587336,0.7818314824680298
56,14:00,14,0,10,1,7,17,20,1,0.0,1.0,-0.4999999999999997,-0.8660254037844388,1,0.6234898018587336,0.7818314824680298
57,14:15,14,15,10,1,76,15,32,2,1.0,2.83276944882399e-16,-0.4999999999999997,-0.8660254037844388,1,0.6234898018587336,0.7818314824680298
58,14:30,14,30,10,1,59,14,18,1,5.66553889764798e-16,-1.0,-0.4999999999999997,-0.8660254037844388,1,0.6234898018587336,0.7818314824680298
59,14:45,14,45,10,1,90,9,3,1,-1.0,-1.8369701987210297e-16,-0.4999999999999997,-0.8660254037844388,1,0.6234898018587336,0.7818314824680298
60,15:00,15,0,10,1,5,13,4,1,0.0,1.0,-0.7071067811865471,-0.7071067811865479,1,0.6234898018587336,0.7818314824680298
61,15:15,15,15,10,1,33,18,22,1,1.0,2.83276944882399e-16,-0.7071067811865471,-0.7071067811865479,1,0.6234898018587336,0.7818314824680298
62,15:30,15,30,10,1,39,19,13,1,5.66553889764798e-16,-1.0,-0.7071067811865471,-0.7071067811865479,1,0.6234898018587336,0.7818314824680298
63,15:45,15,45,10,1,150,21,10,3,-1.0,-1.8369701987210297e-16,-0.7071067811865471,-0.7071067811865479,1,0.6234898018587336,0.7818314824680298
64,16:00,16,0,10,1,126,27,40,3,0.0,1.0,-0.8660254037844384,-0.5000000000000004,1,0.6234898018587336,0.7818314824680298
65,16:15,16,15,10,1,144,7,35,3,1.0,2.83276944882399e-16,-0.8660254037844384,-0.5000000000000004,1,0.6234898018587336,0.7818314824680298
66,16:30,16,30,10,1,145,13,12,3,5.66553889764798e-16,-1.0,-0.8660254037844384,-0.5000000000000004,1,0.6234898018587336,0.7818314824680298
67,16:45,16,45,10,1,121,29,27,3,-1.0,-1.8369701987210297e-16,-0.8660254037844384,-0.5000000000000004,1,0.6234898018587336,0.7818314824680298
68,17:00,17,0,10,1,150,21,37,3,0.0,1.0,-0.9659258262890683,-0.25881904510252063,1,0.6234898018587336,0.7818314824680298
69,17:15,17,15,10,1,122,8,10,1,1.0,2.83276944882399e-16,-0.9659258262890683,-0.25881904510252063,1,0.6234898018587336,0.7818314824680298
70,17:30,17,30,10,1,129,20,35,3,5.66553889764798e-16,-1.0,-0.9659258262890683,-0.25881904510252063,1,0.6234898018587336,0.7818314824680298
71,17:45,17,45,10,1,114,7,39,3,-1.0,-1.8369701987210297e-16,-0.9659258262890683,-0.25881904510252063,1,0.6234898018587336,0.7818314824680298
72,18:00,18,0,10,1,109,10,26,2,0.0,1.0,-1.0,-1.8369701987210297e-16,1,0.6234898018587336,0.7818314824680298
73,18:15,18,15,10,1,101,22,24,1,1.0,2.83276944882399e-16,-1.0,-1.8369701987210297e-16,1,0.6234898018587336,0.7818314824680298
74,18:30,18,30,10,1,91,13,8,1,5.66553889764798e-16,-1.0,-1.0,-1.8369701987210297e-16,1,0.6234898018587336,0.7818314824680298
75,18:45,18,45,10,1,90,17,10,1,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,1,0.6234898018587336,0.7818314824680298
76,19:00,19,0,10,1,107,2,15,2,0.0,1.0,-0.9659258262890684,0.2588190451025203,0,0.6234898018587336,0.7818314824680298
77,19:15,19,15,10,1,66,7,5,1,1.0,2.83276944882399e-16,-0.9659258262890684,0.2588190451025203,0,0.6234898018587336,0.7818314824680298
78,19:30,19,30,10,1,98,5,7,1,5.66553889764798e-16,-1.0,-0.9659258262890684,0.2588190451025203,0,0.6234898018587336,0.7818314824680298
